#SampleID	Dataset	FullName	Acronyme	Species	Site
Hm105	1	Shrimp_haemolymph_105	Hm105	Shrimp	Saint_Vincent
Hm106	2	Shrimp_haemolymph_106	Hm106	Shrimp	Saint_Vincent
Hm107	3	Shrimp_haemolymph_107	Hm107	Shrimp	Saint_Vincent
Hm108	4	Shrimp_haemolymph_108	Hm108	Shrimp	Saint_Vincent
Hm109	5	Shrimp_haemolymph_109	Hm109	Shrimp	Saint_Vincent
Hm110	6	Shrimp_haemolymph_110	Hm110	Shrimp	Saint_Vincent
Hm112	7	Shrimp_haemolymph_112	Hm112	Shrimp	Saint_Vincent
Hm113	8	Shrimp_haemolymph_113	Hm113	Shrimp	Saint_Vincent
Hm114	9	Shrimp_haemolymph_114	Hm114	Shrimp	Saint_Vincent
Hm115	10	Shrimp_haemolymph_115	Hm115	Shrimp	Saint_Vincent
Hm11	11	Shrimp_haemolymph_11	Hm11	Shrimp	Saint_Vincent
Hm12	12	Shrimp_haemolymph_12	Hm12	Shrimp	Saint_Vincent
Hm13	13	Shrimp_haemolymph_13	Hm13	Shrimp	Saint_Vincent
Hm14	14	Shrimp_haemolymph_14	Hm14	Shrimp	Saint_Vincent
Hm15	15	Shrimp_haemolymph_15	Hm15	Shrimp	Saint_Vincent
Hm16	16	Shrimp_haemolymph_16	Hm16	Shrimp	Saint_Vincent
Hm18	17	Shrimp_haemolymph_18	Hm18	Shrimp	Saint_Vincent
Hm1	18	Shrimp_haemolymph_1	Hm1	Shrimp	Saint_Vincent
Hm20	19	Shrimp_haemolymph_20	Hm20	Shrimp	Saint_Vincent
Hm21	20	Shrimp_haemolymph_21	Hm21	Shrimp	Saint_Vincent
Hm22	21	Shrimp_haemolymph_22	Hm22	Shrimp	Saint_Vincent
Hm23	22	Shrimp_haemolymph_23	Hm23	Shrimp	Saint_Vincent
Hm26	23	Shrimp_haemolymph_26	Hm26	Shrimp	Saint_Vincent
Hm27	24	Shrimp_haemolymph_27	Hm27	Shrimp	Saint_Vincent
Hm28	25	Shrimp_haemolymph_28	Hm28	Shrimp	Saint_Vincent
Hm2	26	Shrimp_haemolymph_2	Hm2	Shrimp	Saint_Vincent
Hm30	27	Shrimp_haemolymph_30	Hm30	Shrimp	Saint_Vincent
Hm31	28	Shrimp_haemolymph_31	Hm31	Shrimp	Saint_Vincent
Hm32	29	Shrimp_haemolymph_32	Hm32	Shrimp	Saint_Vincent
Hm33	30	Shrimp_haemolymph_33	Hm33	Shrimp	Saint_Vincent
Hm34	31	Shrimp_haemolymph_34	Hm34	Shrimp	Saint_Vincent
Hm35	32	Shrimp_haemolymph_35	Hm35	Shrimp	Saint_Vincent
Hm36	33	Shrimp_haemolymph_36	Hm36	Shrimp	Saint_Vincent
Hm37	34	Shrimp_haemolymph_37	Hm37	Shrimp	Saint_Vincent
Hm39	35	Shrimp_haemolymph_39	Hm39	Shrimp	Saint_Vincent
Hm3	36	Shrimp_haemolymph_3	Hm3	Shrimp	Saint_Vincent
Hm40	37	Shrimp_haemolymph_40	Hm40	Shrimp	Saint_Vincent
Hm41	38	Shrimp_haemolymph_41	Hm41	Shrimp	Saint_Vincent
Hm43	39	Shrimp_haemolymph_43	Hm43	Shrimp	Saint_Vincent
Hm44	40	Shrimp_haemolymph_44	Hm44	Shrimp	Saint_Vincent
Hm45	41	Shrimp_haemolymph_45	Hm45	Shrimp	Saint_Vincent
Hm46	42	Shrimp_haemolymph_46	Hm46	Shrimp	Saint_Vincent
Hm47	43	Shrimp_haemolymph_47	Hm47	Shrimp	Saint_Vincent
Hm48	44	Shrimp_haemolymph_48	Hm48	Shrimp	Saint_Vincent
Hm49	45	Shrimp_haemolymph_49	Hm49	Shrimp	Saint_Vincent
Hm4	46	Shrimp_haemolymph_4	Hm4	Shrimp	Saint_Vincent
Hm50	47	Shrimp_haemolymph_50	Hm50	Shrimp	Saint_Vincent
Hm51	48	Shrimp_haemolymph_51	Hm51	Shrimp	Saint_Vincent
Hm52	49	Shrimp_haemolymph_52	Hm52	Shrimp	Saint_Vincent
Hm53	50	Shrimp_haemolymph_53	Hm53	Shrimp	Saint_Vincent
Hm54	51	Shrimp_haemolymph_54	Hm54	Shrimp	Saint_Vincent
Hm55	52	Shrimp_haemolymph_55	Hm55	Shrimp	Saint_Vincent
Hm56	53	Shrimp_haemolymph_56	Hm56	Shrimp	Saint_Vincent
Hm57	54	Shrimp_haemolymph_57	Hm57	Shrimp	Saint_Vincent
Hm5	55	Shrimp_haemolymph_5	Hm5	Shrimp	Saint_Vincent
Hm68	56	Shrimp_haemolymph_68	Hm68	Shrimp	Saint_Vincent
Hm69	57	Shrimp_haemolymph_69	Hm69	Shrimp	Saint_Vincent
Hm6	58	Shrimp_haemolymph_6	Hm6	Shrimp	Saint_Vincent
Hm70	59	Shrimp_haemolymph_70	Hm70	Shrimp	Saint_Vincent
Hm71	60	Shrimp_haemolymph_71	Hm71	Shrimp	Saint_Vincent
Hm72	61	Shrimp_haemolymph_72	Hm72	Shrimp	Saint_Vincent
Hm73	62	Shrimp_haemolymph_73	Hm73	Shrimp	Saint_Vincent
Hm74	63	Shrimp_haemolymph_74	Hm74	Shrimp	Saint_Vincent
Hm75	64	Shrimp_haemolymph_75	Hm75	Shrimp	Saint_Vincent
Hm85	65	Shrimp_haemolymph_85	Hm85	Shrimp	Saint_Vincent
Hm86	66	Shrimp_haemolymph_86	Hm86	Shrimp	Saint_Vincent
Hm87	67	Shrimp_haemolymph_87	Hm87	Shrimp	Saint_Vincent
Hm88	68	Shrimp_haemolymph_88	Hm88	Shrimp	Saint_Vincent
Hm89	69	Shrimp_haemolymph_89	Hm89	Shrimp	Saint_Vincent
Hm8	70	Shrimp_haemolymph_8	Hm8	Shrimp	Saint_Vincent
Hm90	71	Shrimp_haemolymph_90	Hm90	Shrimp	Saint_Vincent
Hm91	72	Shrimp_haemolymph_91	Hm91	Shrimp	Saint_Vincent
Hm92	73	Shrimp_haemolymph_92	Hm92	Shrimp	Saint_Vincent
Hm93	74	Shrimp_haemolymph_93	Hm93	Shrimp	Saint_Vincent
Hm94	75	Shrimp_haemolymph_94	Hm94	Shrimp	Saint_Vincent
Hm9	76	Shrimp_haemolymph_9	Hm9	Shrimp	Saint_Vincent
Hm	77	Shrimp_haemolymph_	Hm	Shrimp	Saint_Vincent
LC10	78	Coelomic_holoturia_fluid_10	LC10	Holothuria	Saint_Vincent
LC11	79	Coelomic_holoturia_fluid_11	LC11	Holothuria	Saint_Vincent
LC12	80	Coelomic_holoturia_fluid_12	LC12	Holothuria	Saint_Vincent
LC13	81	Coelomic_holoturia_fluid_13	LC13	Holothuria	Saint_Vincent
LC14	82	Coelomic_holoturia_fluid_14	LC14	Holothuria	Saint_Vincent
LC15	83	Coelomic_holoturia_fluid_15	LC15	Holothuria	Saint_Vincent
LC16	84	Coelomic_holoturia_fluid_16	LC16	Holothuria	Saint_Vincent
LC17	85	Coelomic_holoturia_fluid_17	LC17	Holothuria	Saint_Vincent
LC18	86	Coelomic_holoturia_fluid_18	LC18	Holothuria	Saint_Vincent
LC19	87	Coelomic_holoturia_fluid_19	LC19	Holothuria	Saint_Vincent
LC20	88	Coelomic_holoturia_fluid_20	LC20	Holothuria	Saint_Vincent
LC21	89	Coelomic_holoturia_fluid_21	LC21	Holothuria	Saint_Vincent
LC22	90	Coelomic_holoturia_fluid_22	LC22	Holothuria	Saint_Vincent
LC23	91	Coelomic_holoturia_fluid_23	LC23	Holothuria	Saint_Vincent
LC24	92	Coelomic_holoturia_fluid_24	LC24	Holothuria	Saint_Vincent
LC25	93	Coelomic_holoturia_fluid_25	LC25	Holothuria	Saint_Vincent
LC26	94	Coelomic_holoturia_fluid_26	LC26	Holothuria	Saint_Vincent
LC27	95	Coelomic_holoturia_fluid_27	LC27	Holothuria	Saint_Vincent
LC28	96	Coelomic_holoturia_fluid_28	LC28	Holothuria	Saint_Vincent
LC29	97	Coelomic_holoturia_fluid_29	LC29	Holothuria	Saint_Vincent
LC2	98	Coelomic_holoturia_fluid_2	LC2	Holothuria	Saint_Vincent
LC30	99	Coelomic_holoturia_fluid_30	LC30	Holothuria	Saint_Vincent
LC3	100	Coelomic_holoturia_fluid_3	LC3	Holothuria	Saint_Vincent
LC4	101	Coelomic_holoturia_fluid_4	LC4	Holothuria	Saint_Vincent
LC5	102	Coelomic_holoturia_fluid_5	LC5	Holothuria	Saint_Vincent
LC6	103	Coelomic_holoturia_fluid_6	LC6	Holothuria	Saint_Vincent
LC8	104	Coelomic_holoturia_fluid_8	LC8	Holothuria	Saint_Vincent
LC9	105	Coelomic_holoturia_fluid_9	LC9	Holothuria	Saint_Vincent
T1-B-BMa01	106	Giant_Clam-B_01	T1-B-BMa01	Tridacna	Saint_Vincent
T1-B-BMa02	107	Giant_Clam-B_02	T1-B-BMa02	Tridacna	Saint_Vincent
T1-B-BMa03	108	Giant_Clam-B_03	T1-B-BMa03	Tridacna	Saint_Vincent
T1-B-BMa04	109	Giant_Clam-B_04	T1-B-BMa04	Tridacna	Saint_Vincent
T1-B-BMa06	110	Giant_Clam-B_06	T1-B-BMa06	Tridacna	Saint_Vincent
T1-B-BMa07	111	Giant_Clam-B_07	T1-B-BMa07	Tridacna	Saint_Vincent
T1-B-BMa08	112	Giant_Clam-B_08	T1-B-BMa08	Tridacna	Saint_Vincent
T1-B-BMa09	113	Giant_Clam-B_09	T1-B-BMa09	Tridacna	Saint_Vincent
T1-B-BMa10	114	Giant_Clam-B_10	T1-B-BMa10	Tridacna	Saint_Vincent
T1-CB-BMa01	115	Giant_Clam-CB_01	T1-CB-BMa01	Tridacna	Saint_Vincent
T1-CB-BMa03	116	Giant_Clam-CB_03	T1-CB-BMa03	Tridacna	Saint_Vincent
T1-CB-BMa04	117	Giant_Clam-CB_04	T1-CB-BMa04	Tridacna	Saint_Vincent
T1-CB-BMa06	118	Giant_Clam-CB_06	T1-CB-BMa06	Tridacna	Saint_Vincent
T1-CB-BMa07	119	Giant_Clam-CB_07	T1-CB-BMa07	Tridacna	Saint_Vincent
T1-CB-BMa08	120	Giant_Clam-CB_08	T1-CB-BMa08	Tridacna	Saint_Vincent
T1-CB-BMa09	121	Giant_Clam-CB_09	T1-CB-BMa09	Tridacna	Saint_Vincent
T1-CHB-BMa01	122	Giant_Clam-CHB_01	T1-CHB-BMa01	Tridacna	Saint_Vincent
T1-CHB-BMa02	123	Giant_Clam-CHB_02	T1-CHB-BMa02	Tridacna	Saint_Vincent
T1-CHB-BMa03	124	Giant_Clam-CHB_03	T1-CHB-BMa03	Tridacna	Saint_Vincent
T1-CHB-BMa04	125	Giant_Clam-CHB_04	T1-CHB-BMa04	Tridacna	Saint_Vincent
T1-CHB-BMa06	126	Giant_Clam-CHB_06	T1-CHB-BMa06	Tridacna	Saint_Vincent
T1-CHB-BMa07	127	Giant_Clam-CHB_07	T1-CHB-BMa07	Tridacna	Saint_Vincent
T1-CHB-BMa08	128	Giant_Clam-CHB_08	T1-CHB-BMa08	Tridacna	Saint_Vincent
T1-CHB-BMa09	129	Giant_Clam-CHB_09	T1-CHB-BMa09	Tridacna	Saint_Vincent
T1-CHB-BMa10	130	Giant_Clam-CHB_10	T1-CHB-BMa10	Tridacna	Saint_Vincent
